ID,Major Category Abbreviation,Subclass Abbreviation
MAB1737.pdf,PUA,APS
MAB1803.pdf,PUA,APS
MAB1807.pdf,PUA,TE
MAB1808.pdf,UA,SBE
MAB1809.pdf,UA,DE
MAB1810.pdf,US,IS
MAB1811.pdf,UA,DE
MAB1812.pdf,PUA,PhyE
MAB1813.pdf,UA,DE
MAB1815.pdf,UA,DE
MAB1816.pdf,PUA,TE
MAB1817.pdf,US,PIO
MAB1818.pdf,UA,DE
MAB1819.pdf,US,FCP
MAB1820.pdf,UA,DE
MAB1821.pdf,OI,OP
MAB1822.pdf,PUA,CC
MAB1823.pdf,US,PIO
MAB1824.pdf,US,FCP
MAB1826.pdf,US,IS
MAB1827.pdf,OI,OP
MAB1828.pdf,OI,OP
MAB1901.pdf,PUA,TE
MAB1902.pdf,PUA,TE
MAB1907.pdf,OI,OP
MAR2002.pdf,US,IS
