ID,Major Category Abbreviation,Subclass Abbreviation
MAB1825.pdf,PUA,CC
MAB2001.pdf,UA,DE
MAB2002.pdf,OI,OP
MAB2003.pdf,UA,DE
MAB2004.pdf,PUA,CC
MAB2006.pdf,OI,RM
MAB2007.pdf,UA,DE
MAB2008.pdf,UA,DE
MAB2009.pdf,UA,DE
MAB2010.pdf,PUA,AMS
MAB2011.pdf,PUA,AMS
MAB2012.pdf,PUA,AMS
MAB2013.pdf,PUA,TE
MAB2014.pdf,UA,RV
MAB2015.pdf,OI,OP
MAB2016.pdf,UA,DE
MAB2017.pdf,PUA,TE
MAB2019.pdf,PUA,CC
MAB2020.pdf,UA,DE
MAB2021.pdf,UA,DE
MAB2022.pdf,UA,RV
MAB2023.pdf,UA,DE
MAB2024.pdf,IS,IS
MAB2025.pdf,UA,DE
MAB2026.pdf,OI,OP
MAB2027.pdf,PUA,AMS
MAB2028.pdf,PUA,PhyE
MAB2030.pdf,PUA,CC
MAB2031.pdf,OI,OP
MAB2033.pdf,UA,SBE
MAB2034.pdf,OI,OP
MAB2035.pdf,Unknown,Unknown
MAB2036.pdf,OI,OP
MAB2037.pdf,PUA,CC
MAB2039.pdf,PUA,CC
MAB2101.pdf,PUA,TE
MAB2102.pdf,PUA,CC
MAB2103.pdf,PUA,TE
MAB2106.pdf,PUA,AMS
MAB2108.pdf,PUA,CC
MAB2114.pdf,OI,OP
MAB2117.pdf,IS,FCP
MAR2003.pdf,IS,IS
MAR2101.pdf,UA,DE
MAR2102.pdf,OI,OP
MAR2103.pdf,UA,DE
